time,grad_a_b,grad_a_ox,grad_b_a
21,0.0054054214566665,0.056827362833331,0.0054054214566665
22,0.0094873035524605,0.023884411114893,0.00071083195907
23,0.0099968126283968,0.023112049082076,0.00072192340248377
24,0.010176421067384,0.022263578922092,0.00072356095357334
25,0.010288388247728,0.021494950087899,0.00071914293497943
26,0.010175947012574,0.020832199848595,0.00071053638400578
27,0.0099935352344173,0.020129152675131,0.0006993971402383
28,0.0098895454625662,0.019609863202529,0.00068724263858543
29,0.0096837326910142,0.019163306500937,0.00067411325421733
30,0.0094598551536214,0.018764170403389,0.00066092753137897
31,0.0093357968736662,0.018317250172232,0.00064819085471142
32,0.0091322848065595,0.017953012432109,0.00063547287941576
33,0.0089147071702564,0.017646204766704,0.00062327437932386
34,0.0088153608295055,0.017362220989002,0.00061156393005887
35,0.0086227683155455,0.01709560399144,0.00060038956154203
36,0.0085104140051052,0.016770926380198,0.00058998324737353
37,0.0083407277269401,0.016504794773584,0.0005796219641408
38,0.0082272969802669,0.016281781157451,0.00057027297946285
39,0.0080758605205866,0.016071251970754,0.00056068653146582
40,0.007910602910431,0.015868895823533,0.00055172794106363
41,0.007838863033051,0.015675478963812,0.00054317227838688
42,0.0076871677893302,0.015413489441965,0.00053503499253529
43,0.0076160867548143,0.01522341217599,0.00052729159222794
44,0.007476330903488,0.01505551066922,0.00051980061456718
45,0.0074090195264377,0.014893730420643,0.00051271283162553
46,0.0072787768336759,0.01473641002737,0.00050579523623589
47,0.0072168243191635,0.014526933464208,0.00049925394636063
48,0.0070938966928116,0.014351127542298,0.00049285863477946
49,0.0070382515969405,0.014213116056121,0.00048677814887849
50,0.0069204032162717,0.01408237333453,0.00048086361467131
51,0.0068716017466553,0.013953642409388,0.00047517499284463
52,0.0068033603658317,0.013826652732403,0.00047004729257938
53,0.0067102620669822,0.013651926719443,0.00046450600484709
54,0.0066514920612412,0.01349968347575,0.00045965992386998
55,0.0065616754991105,0.013386838723776,0.00045448235962082
56,0.0065100290035669,0.013281058540148,0.00044988476216784
57,0.0064210468926015,0.013176256896391,0.00044507063390635
58,0.0063764381851096,0.01307156775243,0.00044066960573136
59,0.0062864696456147,0.01296780485223,0.00043621154847731
60,0.0062495468470398,0.012814896449771,0.00043197416490811
61,0.0061998157172314,0.012695089141361,0.00042813835445314
62,0.0061250935998269,0.012603496874347,0.0004239229039036
63,0.0060837010260467,0.012516439492609,0.00042021835029998
64,0.0060072469478193,0.012429529953909,0.00041628913955902
65,0.0059726658819439,0.01234222730285,0.00041266404895694
66,0.0059277909642659,0.012255241159218,0.00040931727317379
67,0.0058622496663806,0.012121901113076,0.00040559994493174
68,0.0058261205953534,0.012018581896791,0.00040238442765277
69,0.0057577160646686,0.01194214529732,0.00039891616974171
70,0.0057277553572332,0.011869928395137,0.00039572805057579
71,0.0056891333638587,0.011797525267078,0.00039279329837244
72,0.0056290778776655,0.011724195153125,0.0003895024628033
73,0.0055983128683039,0.011650382846085,0.00038663791008581
74,0.0055336531431837,0.011535126463177,0.00038358349331868
75,0.0055092170495624,0.011436448722318,0.00038070780684078
76,0.0054773482438021,0.011370836750361,0.00037811265524882
77,0.0054194908186,0.011310936616423,0.00037520526173396
78,0.0053941749633309,0.011251101411795,0.00037258070390588
79,0.0053621016520509,0.011189946837223,0.00037014756511759
80,0.0053096891202067,0.011127514600105,0.00036737913253915
81,0.0052848200073303,0.011064431710314,0.00036497020500172
82,0.0052261694576542,0.010960728151365,0.0003624178390715
83,0.0052076327278273,0.010877011641784,0.00035996810740274
84,0.0051828385383459,0.010821703683107,0.00035776545083061
85,0.0051284126497128,0.010771163671458,0.00035534141279069
86,0.0051095737792307,0.010720474321908,0.00035305520768549
87,0.0050854242514571,0.010668372781505,0.00035099943095922
88,0.0050344627744745,0.010614858109107,0.0003486889711419
89,0.0050160421757987,0.010560412847749,0.00034654231726241
90,0.0049928438516203,0.010468072293718,0.00034460851996262
91,0.0049445702221144,0.010389128920571,0.00034240760587
92,0.0049269350977439,0.01034106157875,0.0003403812546732
93,0.0049049296106084,0.01029852822177,0.00033855393895565
94,0.004858673445221,0.01025612893043,0.00033646043594282
95,0.0048420529441138,0.010212333230936,0.00033453703827708
96,0.0048213991608671,0.010166875217902,0.00033280484057015
97,0.0047765336216118,0.010120069141999,0.00033081727812542
98,0.0047610615562079,0.010072488314287,0.00032898232505871
99,0.0047418602233701,0.0099870784237981,0.00032733409008762
100,0.0046978155938089,0.0099221645661626,0.0003254514479567
101,0.0046836601801434,0.0098815520002352,0.00032369352604172
102,0.0046659685029687,0.0098450368742586,0.00032211707449462
103,0.0046221991700285,0.0098083284991055,0.00032033964242945
104,0.0046095762434104,0.0097702074832797,0.00031865344580152
105,0.004593424086402,0.009730496603048,0.00031713300995212
106,0.0045732833526656,0.0096894610069817,0.00031565651546266
107,0.0045370919830405,0.0096475893580536,0.00031390351608884
108,0.0045226939326945,0.0095695733058485,0.00031240299095871
109,0.004504779894528,0.0095100254163689,0.00031100642400619
110,0.0044683097308468,0.0094746091024797,0.00030933810798336
111,0.0044551787617068,0.0094434118939286,0.00030786281687255
112,0.0044392180046907,0.0094121576671959,0.00030653029880241
113,0.004401873180828,0.0093795617708204,0.00030495765353505
114,0.0043902716659196,0.0093453480735182,0.00030351176448287
115,0.0043761197122321,0.0093096756602297,0.00030221861271564
116,0.0043585012679307,0.0092729383193951,0.00030093391325496
117,0.0043264060442635,0.0092026073866995,0.00029939781214488
118,0.004314204334404,0.009141143928986,0.00029810041402845
119,0.0042990520240693,0.0091089834502881,0.00029689644999149
120,0.0042656907762509,0.0090825117488861,0.0002954384720883
121,0.0042547016151799,0.0090565774663792,0.00029413919100301
122,0.0042415300472174,0.0090295200319866,0.00029297775202394
123,0.0042250758617002,0.009000828992161,0.00029179146652802
124,0.0041956880857763,0.00897048911666,0.00029037993936648
125,0.0041847329951515,0.0089387514657953,0.00028920851519238
126,0.0041709490474375,0.0089060149052854,0.00028811345009012
127,0.0041398330212344,0.0088403735452834,0.00028677170987625
128,0.0041299126197668,0.0087858070335409,0.00028558142813875
129,0.0041181096161656,0.0087577883324386,0.00028452019920946
130,0.0041034437838213,0.0087349102977189,0.00028344748488763
131,0.0040754363588244,0.0087124945715786,0.00028214693453281
132,0.0040655769176849,0.0086890161415581,0.00028105729262441
133,0.0040534800260357,0.0086639811944655,0.00028005945433917
134,0.0040231660109588,0.0086373547704423,0.00027883513797713
135,0.0040145609907302,0.0086093075735804,0.00027772525659042
136,0.004004325719648,0.0085802044680202,0.00027673504418472
137,0.0039918134941168,0.008519756063421,0.00027577840407143
138,0.0039640088082066,0.0084652129160013,0.00027458546322618
139,0.0039552486860929,0.0084396292133307,0.00027354702140478
140,0.0039449469431741,0.0084199633321415,0.0002726225043239
141,0.0039322123334958,0.0084011476187245,0.00027168544203651
142,0.0039064649447463,0.0083814830592109,0.00027053025614773
143,0.0038979610288022,0.0083603598839052,0.00026956101485311
144,0.0038877347526961,0.0083376270705499,0.0002686861785177
145,0.0038590447408459,0.0083133922332909,0.00026761091775101
146,0.0038519998473079,0.0082879043997219,0.00026662340376895
147,0.0038435078490064,0.0082614812337018,0.0002657262833194
148,0.0038332795015577,0.0082040077265917,0.00026489655370236
149,0.0038061537401149,0.0081575405013382,0.00026385242318016
150,0.0037990180847851,0.0081355076739915,0.00026290935217027
151,0.0037906711696838,0.0081183454168176,0.00026206403730115
152,0.0037806399507204,0.0081017601208018,0.00026126823069511
153,0.0037547718495977,0.008084313550498,0.00026025589409561
154,0.0037477627446047,0.0080654763359357,0.00025935346536415
155,0.003739668873174,0.0080451343214036,0.00025854987794281
156,0.0037299391394724,0.0080233741726525,0.00025778533590542
157,0.0037050383863898,0.0080004264522429,0.00025680599286955
158,0.0036982583996037,0.0079765606084641,0.00025594001844004
159,0.00369047829782,0.0079226397069417,0.00025517098046635
160,0.0036811331843694,0.0078779492684524,0.00025443725030244
161,0.0036569292504752,0.0078579792228677,0.0002534918670961
162,0.0036504335479367,0.0078430786984424,0.00025265800505807
163,0.0036430124352394,0.0078289293054876,0.00025191748375027
164,0.0036341294490089,0.0078140560344546,0.00025121433150516
165,0.0036103755298474,0.0077978931858643,0.00025030413838582
166,0.0036042139310717,0.0077802787167893,0.00024949876475792
167,0.0035971899715985,0.0077612487188905,0.00024878106853708
168,0.0035888265278827,0.0077409813715681,0.00024810781327791
169,0.0035652937173445,0.0077196893529592,0.00024723422471905
170,0.00355952103906,0.0076697900725413,0.00024645548837354
171,0.0035529153961394,0.0076212871741069,0.00024575467984175
172,0.0035451046013212,0.0076019954426408,0.00024510879533222
173,0.0035215525262195,0.007589079846296,0.00024427437269555
174,0.003516264674245,0.0075775047030103,0.00024352298207492
175,0.00351009125203,0.0075655135389776,0.0002428326270485
176,0.0035028406553506,0.0075523865901323,0.00024220965529011
177,0.003493921127258,0.007537864082811,0.00024155833732582
178,0.003473783276964,0.0075218890389694,0.00024072191543055
179,0.0034680641402553,0.0075045581864103,0.00024002966016805
180,0.0034614483443344,0.0074860707819094,0.00023941883365637
181,0.0034534188957468,0.0074666316998487,0.00023880736545092
182,0.003432978498922,0.0074190785414349,0.00023800151036378
183,0.0034275605107566,0.0073743822133605,0.00023731481978255
184,0.0034214803271398,0.0073570919936088,0.0002367107788723
185,0.00341424809709,0.0073458025569528,0.00023613370355165
186,0.0033932654167481,0.007335796419528,0.00023536573781745
187,0.003388298560339,0.0073254249778037,0.00023469167638668
188,0.0033827240639307,0.0073140023408685,0.00023408615049809
189,0.0033762111268933,0.0073012600770255,0.00023353316560931
190,0.0033681630225496,0.0072871367645304,0.00023294443751786
191,0.0033496494762044,0.007271706070848,0.00023218476878777
192,0.0033446051118846,0.0072551206416604,0.00023156335628601
193,0.0033387992714883,0.0072375715354162,0.00023101689070705
194,0.0033317899097371,0.007192846015818,0.00023047474622193
195,0.0033125111398846,0.0071464989091333,0.00022974503518281
196,0.0033077522963604,0.0071298629946107,0.0002291206733722
197,0.0033024914582061,0.007119947271249,0.00022856912680714
198,0.0032963381264178,0.0071116802581216,0.00022805667082357
199,0.0032886696241792,0.0071032726005054,0.0002274985169403
200,0.0032713149619455,0.007093961800863,0.00022678477372674
201,0.0032666905506085,0.0070834263659261,0.00022621035278021
202,0.0032613113115523,0.0070715461971809,0.00022570475571072
203,0.0032548059425973,0.0070583546037024,0.00022519999478385
204,0.0032364363557073,0.0070439490189185,0.00022451392006727
205,0.0032320341006625,0.0070284824766656,0.00022392945934522
206,0.0032272019391009,0.0070121602639864,0.00022341290246881
207,0.003221589365494,0.0069689329470344,0.00022293685066634
208,0.0032146347966786,0.0069280170602501,0.0002224249665171
209,0.0031977950223569,0.0069134331829103,0.00022175278425562
210,0.0031934861023269,0.0069047466621544,0.00022120664786607
211,0.0031886092833865,0.0068974627593561,0.00022072961279384
212,0.0031828081504837,0.0068899982476958,0.00022026638713195
213,0.0031646892319634,0.0068816664091858,0.00021962757122505
214,0.0031607347914073,0.0068721694785985,0.00021907670830557
215,0.0031563889324487,0.0068614225397289,0.00021857817075492
216,0.0031514077276922,0.0068494422733812,0.00021813216396577
217,0.003145382512303,0.0068363118524591,0.00021767440536921
218,0.0031284801924708,0.0068221733722578,0.00021704492285674
219,0.0031244787622311,0.0068071919828586,0.00021651763162943
220,0.0031201324885409,0.0067659520296294,0.00021605443846186
221,0.0031151215009155,0.0067252950961239,0.00021562749677862
222,0.0031089364090152,0.0067114999115908,0.00021516897273115
223,0.0030930447541291,0.0067038279728155,0.00021455358640947
224,0.0030891697290659,0.0066977204116707,0.000214053057276
225,0.0030848774252893,0.006691562385012,0.00021361766311168
226,0.0030798612790541,0.0066846447814589,0.00021320433824798
227,0.0030735695749192,0.0066766543442504,0.00021274445911834
228,0.0030585020931536,0.0066674659217668,0.00021214647644806
229,0.0030548349560912,0.0066570711104733,0.00021167240847823
230,0.0030506318807886,0.006645538509285,0.00021125946666294
231,0.0030456457773481,0.0066329781285255,0.00021085740322111
232,0.0030289556607135,0.0066195381023048,0.00021028988703517
233,0.003025561444141,0.0065806986282118,0.00020980534149474
234,0.0030218684797554,0.0065356186987228,0.00020935982817712
235,0.0030176868560127,0.0065214156279136,0.00020896746117996
236,0.00301272444005,0.0065145081347915,0.00020857749665535
237,0.0029966123056197,0.006509700153367,0.00020802270435877
238,0.002993239730942,0.0065051444270394,0.00020755320099233
239,0.0029896238164714,0.006500020447795,0.00020712731692005
240,0.0029855442018078,0.0064939372392158,0.000206750356127
241,0.0029806894962823,0.0064867122886676,0.00020637166866557
242,0.0029650236277238,0.0064783060888001,0.00020583047388501
243,0.0029617351317007,0.0064687192576292,0.00020537517318259
244,0.0029582290955189,0.0064580528778057,0.0002049644318253
245,0.0029542848806247,0.0064464143873414,0.00020460044427596
246,0.0029495900792713,0.0064339410210101,0.00020423408685464
247,0.0029342484216583,0.0063964435868027,0.00020370729016383
248,0.0029310636534081,0.0063536717738213,0.00020326563809423
249,0.0029276846058505,0.0063405378615296,0.00020286630288211
250,0.0029238947295817,0.0063344288244968,0.00020251349557637
251,0.0029194016832809,0.0063303724723248,0.0002021606013595
252,0.0029042533344826,0.0063265990215176,0.00020164932514473
253,0.0029011995542762,0.0063223177158264,0.00020122080444759
254,0.0028979579754272,0.0063171455812963,0.0002008293924961
255,0.002894336005574,0.0063109020481461,0.00020048582141769
256,0.0028900778330149,0.0063035289641504,0.00020014701859297
257,0.0028750024875402,0.0062950387109664,0.00019965267773542
258,0.0028721125213263,0.0062854927960684,0.0001992379167968
259,0.0028690188575976,0.0062749959054081,0.00019885105895991
260,0.0028655741022806,0.0062636486549824,0.00019851431446901
261,0.0028615715305369,0.0062516223085097,0.00019818945386641
262,0.00285656742557,0.006214587694918,0.00019782298735259
263,0.0028434296372173,0.0061799391238592,0.00019732828384419
264,0.0028405145287421,0.0061691884823812,0.00019693979160589
265,0.0028372970713493,0.0061639569468366,0.00019660481858572
266,0.0028335967730436,0.0061602285155844,0.00019629078947222
267,0.0028290182795861,0.0061565686934317,0.00019594752883525
268,0.0028157634548118,0.0061523429569824,0.0001954646983006
269,0.0028128983036529,0.0061472410016783,0.00019507834519318
270,0.002809851813177,0.0061411290785391,0.00019474334352845
271,0.0028064150482436,0.0061339705585925,0.00019443854873893
272,0.0028022487562285,0.0061257782299213,0.00019411815537695
273,0.0027887656350703,0.0061166331649842,0.00019365048775874
274,0.0027859971576921,0.006106613094803,0.00019326922866101
275,0.002783117219311,0.0060958512070624,0.00019293085255362
276,0.0027799240439082,0.0060608966325876,0.00019263150786019
277,0.0027761499709532,0.0060196764978599,0.00019233149080131
278,0.0027623310879748,0.0060077105785507,0.00019188311931394
279,0.0027597608880246,0.0060027901788425,0.00019151334206194
280,0.0027570598727438,0.0060000438676701,0.00019116776527937
281,0.0027540784138022,0.0059977343091479,0.00019086871858396
282,0.0027506598388485,0.0059950775326441,0.00019058415424639
283,0.0027464245326122,0.0059916807407405,0.0001902687344379
284,0.002733960558486,0.0059873485290762,0.00018982076132286
285,0.0027313462622117,0.005981992664981,0.00018946606626382
