time,grad_a_b,grad_a_ox,grad_b_a
21,0.18009966666666,0.180901,0.18009966666666
22,0.024278738200959,0.024173683790877,0.0019351298168994
23,0.016167119556447,0.020157855457863,0.0015241129645223
24,0.013774304852436,0.018722097505458,0.0012913910851273
25,0.012562419100151,0.018150351512511,0.0011457333948184
26,0.011729493130741,0.017812732421259,0.0010421127762255
27,0.01110039226444,0.017636272403245,0.00096514073533772
28,0.010700886901537,0.017522169206971,0.00090541506153842
29,0.010292917013103,0.017405997421176,0.00085640430708463
30,0.010002284062469,0.017278629769088,0.00081654884559765
31,0.0096994513167176,0.017050868615036,0.00078151463598485
32,0.0094093163762954,0.016884527459263,0.00075149099526173
33,0.0092360369288263,0.016726615020603,0.00072539096756872
34,0.0089963196455799,0.016563899108456,0.00070202170532564
35,0.0088426794355891,0.016399397984015,0.00068150576200181
36,0.0086397747711475,0.016149897117829,0.00066245081220749
37,0.0085026563632474,0.015972923788783,0.00064571067093158
38,0.0083265044656372,0.015810602957735,0.00062970974367078
39,0.0082034820817683,0.01564983250814,0.00061566554924841
40,0.008047389932032,0.015491158317477,0.00060194444963436
41,0.0079369385282674,0.015265097980145,0.00058990676273299
42,0.0077963399645192,0.015095158374307,0.00057795295619527
43,0.007697118598447,0.014949149497991,0.00056746200003731
44,0.0075684836678622,0.014806795774674,0.00055691549180638
45,0.0074793261774934,0.014665982370461,0.00054764653478055
46,0.007360007923663,0.014528050772984,0.00053824653030078
47,0.0072801013980592,0.014325803429122,0.00052995816059065
48,0.0071678712664934,0.014183231890073,0.00052151311003863
49,0.0070965351622758,0.014059284653671,0.00051401781587754
50,0.0069893038216493,0.013938207401071,0.00050638607698417
51,0.0069261043033595,0.013818153094505,0.0004995308392582
52,0.0068220053788914,0.013700047263371,0.00049260774022039
53,0.0067668814183905,0.013525179606446,0.00048626880542705
54,0.0066641231715905,0.013398829789626,0.00047997564963066
55,0.0066173767383154,0.013293954890567,0.00047406008616069
56,0.0065560940564267,0.013192220082725,0.00046866768939761
57,0.0064718147857224,0.01309072479697,0.00046291864373905
58,0.0064204189935571,0.012989777236521,0.00045787305096143
59,0.0063366315349581,0.012841442925263,0.00045257014772609
60,0.0062923778752688,0.012719247211107,0.00044777869382783
61,0.0062065316826339,0.012629318867619,0.00044291256471512
62,0.0061701500980804,0.01254460889928,0.00043832230895639
63,0.0061225586618145,0.012459946866485,0.00043414668735919
