time,grad_a_b,grad_a_ox,grad_b_a
21,1.5146129380243e-30,1.8026006666674,1.5146129380243e-30
22,0.00089455849153511,0.025005691571546,0.0007142038465813
23,0.0069685126848023,0.02530467947703,0.00073542131259904
24,0.0069971404707193,0.024192734538987,0.00077116942509944
25,0.0067419120891008,0.023026370055614,0.00079024699546235
26,0.0063948231066552,0.021954371965184,0.00079734935701903
27,0.0060362538184065,0.02100929012277,0.00079608895098321
28,0.0057050829284187,0.02018316240418,0.00078946326752463
29,0.0054058180720029,0.019458224279003,0.00077953371968612
30,0.0051388283383735,0.018816844363462,0.00076769277069225
31,0.0049005934217957,0.01824420017704,0.00075486267507238
32,0.0046916996563326,0.017728517551537,0.00074162662053318
33,0.0045038640544275,0.017260443617562,0.00072836205287161
34,0.0043346047376251,0.016832684928837,0.00071527473951358
35,0.0041816859986009,0.016439371261934,0.00070249350668508
36,0.0040428729751361,0.016075782477803,0.00069009145931143
37,0.0039160437471804,0.015738133949992,0.00067812392191569
38,0.0037992165942227,0.015423270080559,0.00066661438705204
39,0.0036941686035634,0.015128584735153,0.00065556118527432
40,0.0035963517170487,0.014851884518682,0.00064497247566087
41,0.0035042452985985,0.014591308512454,0.00063477893029165
42,0.0034201861344312,0.014345272502762,0.00062501915208876
43,0.0033415320494026,0.014112413048582,0.00061565923339754
44,0.003267814079803,0.013891546269718,0.0006066755146148
45,0.0031986025132181,0.013681639634001,0.00059804680211706
46,0.003133455059185,0.01348181111683,0.00058975668789379
47,0.0030719603069269,0.01329124618077,0.00058178570766365
48,0.0030137130489271,0.013109220299865,0.00057411738169205
49,0.0029598571357028,0.012937074839687,0.00056674995737183
50,0.0029077151849327,0.012769283303947,0.00055963202660131
51,0.002857898346313,0.012608641950213,0.00055277453727129
52,0.0028117701432432,0.012454435950429,0.00054616954911108
53,0.0027665618388685,0.012306235021444,0.00053978065084068
54,0.002724535891233,0.012163666292022,0.00053362012988481
55,0.0026831071655694,0.012028110301695,0.00052765443512223
56,0.0026447371326423,0.011894708786878,0.00052188870206532
57,0.002607718910535,0.011766288116457,0.00051631565046736
58,0.0025711776539654,0.011642329007145,0.00051090657901728
59,0.002537233353293,0.01152261609286,0.00050566366699925
60,0.0025045105380852,0.011408453146511,0.00050058536027681
61,0.0024728961786842,0.011295287444954,0.00049566024480183
62,0.0024423635274055,0.0111860944652,0.00049087969104569
63,0.0024128813220152,0.011080382542263,0.0004862354559213
64,0.0023836729079143,0.010979425035988,0.00048170662308505
65,0.0023563344433731,0.010879054633018,0.00047731224990927
66,0.0023298779361823,0.010781924726264,0.00047303807007643
67,0.0023042434017493,0.010687698808402,0.00046887884232852
68,0.0022793971392954,0.010597643751101,0.00046482893912062
69,0.0022560961054274,0.010507594647236,0.00046089365382423
70,0.0022327961539823,0.010420444807741,0.00045704782478723
71,0.0022101958928044,0.01033578770135,0.00045329740641725
72,0.0021882316185766,0.010254797955374,0.00044963894205358
73,0.0021668452053143,0.010173287918308,0.00044606931294325
74,0.0021459847038689,0.010094535015576,0.0004425856196795
75,0.0021263808873469,0.010019276497677,0.00043919254623281
76,0.0021067759819225,0.0099434451315326,0.00043586617819355
77,0.0020876400169584,0.0098700310926265,0.00043261608015274
78,0.0020688675088293,0.0097998328072806,0.00042944112723342
79,0.0020513490946423,0.009729049188377,0.00042634133759101
80,0.0020336494173885,0.0096604121940798,0.00042330087202341
81,0.0020162220092575,0.0095947609996163,0.00042032894830546
82,0.0020000094486745,0.0095284382250822,0.00041742320355201
83,0.0019835096503267,0.0094640904668473,0.00041457244950419
84,0.0019679282337367,0.0094025635026567,0.00041178981200646
85,0.0019522307276603,0.0093401794619363,0.0004090518349989
86,0.0019372926573415,0.0092796917904563,0.00040638096136031
87,0.0019223222805432,0.0092219213454496,0.00040375033751416
88,0.0019080303996639,0.00916304334757,0.00040118243250525
89,0.0018937114404826,0.0091060639960443,0.00039865299019623
90,0.0018800564145078,0.0090516341400371,0.00039618293697569
91,0.0018663170992893,0.008995955876012,0.000393746745593
92,0.0018532758972093,0.0089421749922247,0.00039136664547232
93,0.0018400305515653,0.0088906081730256,0.00038902084832737
94,0.0018275752472341,0.0088379724399268,0.00038672458412525
95,0.0018147476295078,0.0087882781961661,0.00038446462054742
96,0.0018028384668246,0.0087373790109981,0.00038224707580226
97,0.0017910557392769,0.0086881612480652,0.00038007193235143
98,0.0017789951165305,0.008641117300513,0.00037792685745813
99,0.0017677348810213,0.0085927937737251,0.00037582305224682
100,0.0017566024443355,0.0085472561298525,0.00037375671684456
