time,grad_a_b,grad_a_ox,grad_b_a,position_a_b,position_ox_a
20,0.191118,0.16988266666668,0.191118,539.5,582
21,0.0081529177937834,0.0081381836546781,0.00093148954211479,540.31204421264,581.59666644866
22,0.0072217986048231,0.0071194010463881,0.0006920639189819,539.96066714167,581.15346022912
23,0.0067140182968411,0.0068893100712277,0.00058164813634221,539.13701332312,580.71704442878
24,0.0063568279215114,0.0068431276058246,0.00051505244525266,538.07026789162,580.29686625547
25,0.0060653291541294,0.0068284212678505,0.0004691285963546,536.87293220683,579.89325465959
26,0.0058181486330611,0.0067947215824766,0.0004349278626305,535.60301479297,579.50373643848
27,0.0056020772378019,0.0067412627856416,0.0004080700385354,534.29410354414,579.12600673891
28,0.0054100000822014,0.0066695512731154,0.00038618739368258,532.96656495448,578.75802642557
29,0.005234709126942,0.0065819862726725,0.00036783673493258,531.63506081331,578.3980421141
30,0.0050801775202148,0.0064901227136066,0.00035214603711396,530.30397777025,578.04508969733
31,0.0049384864774255,0.0063936362735082,0.00033851756490409,528.97938440148,577.69826644607
32,0.0048052461133692,0.0062926035264101,0.0003264933673703,527.66726294771,577.35674388622
33,0.0046861498867585,0.0061955121956437,0.00031578123662315,526.3665762492,577.0202459785
34,0.0045750039922016,0.0060969941850494,0.00030615960416085,525.07958208318,576.68822363858
35,0.0044681411544608,0.006002155684714,0.00029742929548516,523.80994198846,576.36046644323
36,0.0043721841726307,0.0059111763137744,0.00028945899036621,522.55483093945,576.03680370853
37,0.0042818237604844,0.0058204072415366,0.00028215183449119,521.31499732039,575.71687912435
38,0.0041963357389146,0.0057339049198865,0.0002754142825714,520.09103042217,575.40060030371
39,0.0041129665495464,0.005651788416767,0.00026915913778693,518.8850753335,575.08790136708
40,0.0040376794806213,0.0055720108776094,0.00026333509724408,517.69397523243,574.77861532071
41,0.0039661651975504,0.0054927058232839,0.0002579020396923,516.51778345532,574.47248579775
42,0.0038980315266162,0.005419100082068,0.00025281395575317,515.35650459904,574.16957900645
43,0.0038330503223454,0.0053478824053766,0.00024803332894285,514.21002838883,573.8697798036
44,0.0037710084402383,0.0052769124908918,0.00024352869534543,513.07816608838,573.57286314195
45,0.0037098692333221,0.005210746897759,0.00023926391683055,511.96210789511,573.27888377093
46,0.0036541990694572,0.0051471629162846,0.00023522671522518,510.85920142701,572.98777604979
47,0.003600824479298,0.0050835852078388,0.0002314011704839,509.76926797517,572.69933565177
48,0.0035496120037686,0.0050235938042745,0.00022776734473465,508.6920777957,572.4135786248
49,0.0035004381014477,0.0049666668474359,0.00022430893946673,507.62737126682,572.13049824088
50,0.0034531981318916,0.0049110862764052,0.00022101204488082,506.57486261622,571.84999572376
51,0.0034077956252338,0.0048553564929592,0.00021786392898222,505.53424270086,571.57189456187
52,0.0033641124889002,0.0048035442888524,0.00021485419816678,504.50521555299,571.29626390243
53,0.003322056841048,0.0047535185350931,0.00021197309100034,503.48748197856,571.0230540111
54,0.0032815463457418,0.0047030540073307,0.00020921197621514,502.48074082605,570.75209284381
55,0.0032424967124379,0.0046550965421877,0.00020656316092703,501.48469814078,570.48338766281
56,0.0032048183217951,0.0046098882509392,0.00020401972254371,500.49907773273,570.21696458506
57,0.0031684381407447,0.0045655665900418,0.00020157535910548,499.52361257282,569.95274602787
58,0.0031332842672013,0.0045206663024948,0.00019922449728466,498.55804972937,569.69057535185
59,0.0030992977369906,0.0044784219946214,0.00019696166068641,497.60214054098,569.43049032018
60,0.0030664011846407,0.00443817361407,0.00019478240097905,496.65566397641,569.17249370234
61,0.0030345374122657,0.0043985458023241,0.00019268240293781,495.71841117123,568.91651225932
62,0.0030036567967269,0.0043583055930608,0.00019065753449155,494.79018069157,568.66240606986
63,0.0029737033052597,0.0043206545563882,0.0001887042329616,493.87078837134,568.41022639563
64,0.0029446273732849,0.0042845779426042,0.00018681920396535,492.9600641684,568.15996798891
65,0.0029163891372606,0.004248940073371,0.00018499924926541,492.05784498482,567.91156287915
66,0.0028889547456863,0.0042126443110974,0.00018324150348849,491.16397241663,567.66488346192
67,0.0028622868385961,0.0041787265689068,0.0001815434582523,490.27829850321,567.41998274186
68,0.0028379752758681,0.0041462108175973,0.00017990557165016,489.39937551247,567.17685888677
69,0.0028129128690396,0.0041140167675532,0.00017832190844351,488.52825539851,566.93544993119
70,0.0027885546429211,0.0040810803261747,0.0001767902418226,487.66477928241,566.69563548142
71,0.0027648096210453,0.0040501905627947,0.00017530900520839,486.80885026572,566.45746073577
72,0.0027416327583057,0.0040207416896844,0.00017387653872254,485.96039502249,566.22093721157
73,0.0027190075683302,0.0039915529990106,0.00017249099709073,485.11933889315,565.98600984347
74,0.002696929877369,0.0039615018023492,0.00017115067578637,484.28559692266,565.75256118521
75,0.002676832812192,0.0039330378986162,0.00016985688936147,483.45791977572,565.52061920031
