time,grad_a_b,grad_a_ox,grad_b_a
21,0.191118,0.16988266666666,0.191118
22,0.015643530133567,0.014264946778094,0.0014850673455611
23,0.011809038392457,0.012276467968467,0.0011424863450607
24,0.010440026135232,0.011740081757927,0.00096327980511744
25,0.0096535372266152,0.011581403109915,0.00085243546101148
26,0.0091314510217067,0.011542680476467,0.00077583728398679
27,0.0087177796776677,0.011513083145467,0.00071855655332301
28,0.0083784762505688,0.011442202890037,0.00067371751567258
29,0.0080879974348356,0.011360539215699,0.00063732125008901
30,0.0078327838025613,0.011264291235792,0.00060695595684692
31,0.0076046981893029,0.011136255079246,0.00058107710471929
32,0.0074200838654777,0.011007386921842,0.0005587498180747
33,0.0072341297964693,0.010881695065633,0.00053906205021733
34,0.0070633937881583,0.010752078035657,0.00052155204816993
35,0.0069039494999123,0.01060208530772,0.00050583930449719
36,0.0067539662469622,0.010468672929171,0.00049162140807552
37,0.0066308534634426,0.010340839425025,0.0004787454595491
38,0.0065013649425856,0.010214139526148,0.00046687046252275
39,0.0063791238732367,0.010071329033999,0.00045592204843004
40,0.0062615031178439,0.0099492833195649,0.00044578523517223
41,0.0061632555744881,0.0098326218392503,0.00043643453236668
42,0.0060594881941285,0.0097179501260685,0.00042762117983663
43,0.0059604776459732,0.0095892856650394,0.00041936893249093
44,0.0058635052031535,0.0094804119148041,0.00041162056104561
45,0.0057850868530226,0.0093769898394392,0.00040437070301798
46,0.0056987341757055,0.0092753499483563,0.00039746729618003
47,0.0056144080345072,0.0091613321860848,0.00039093606588827
48,0.0055438371296806,0.0090636000042068,0.00038480213019811
49,0.0054677757948789,0.008972529705401,0.00037889473757643
50,0.0053934989702844,0.0088829769300099,0.00037327724191989
51,0.0053306034494067,0.0087824958359071,0.00036798228507452
52,0.0052628169337987,0.0086926875298827,0.0003628468910686
53,0.0051961962498063,0.0086124586889899,0.00035794356636722
54,0.0051405959759235,0.0085338083970661,0.00035330148892334
55,0.0050794133541099,0.0084557680309637,0.00034878083166973
56,0.0050184125211784,0.0083666453412743,0.00034445032970432
57,0.0049696831616628,0.0082909258756084,0.00034032548665171
58,0.0049136675387821,0.0082212052945692,0.00033630719515097
59,0.0048567708241327,0.0081523153256317,0.00033244578548867
60,0.0048145406273427,0.0080837348754931,0.00032873381039623
61,0.0047623055022529,0.0080045081792604,0.00032513656167727
62,0.0047199899404232,0.0079389853756697,0.0003217016368785
63,0.0046716674182493,0.007877945690813,0.00031832514075342
64,0.0046221358374532,0.0078173203046901,0.00031507027852773
65,0.0045861258444447,0.0077567128304244,0.00031192614383435
66,0.0045401483592305,0.0076860391755052,0.00030887079143598
67,0.0045043743893985,0.0076278400640183,0.0003059360423544
68,0.0044614945197015,0.0075740459668558,0.00030304914989294
69,0.0044263276911211,0.007520504195368,0.0003002927805119
70,0.0043861451163004,0.0074667318878379,0.00029755933647788
71,0.0043444069490112,0.0074034507060637,0.00029491710642812
72,0.0043150473131991,0.0073501370117403,0.000292349844646
73,0.0042756887038757,0.0073024381641241,0.00028985121180108
74,0.0042468462176489,0.0072551017080949,0.00028743024862772
75,0.0042096431491483,0.0072073521944141,0.00028505441071677
76,0.0041815235695679,0.0071505911095452,0.00028276259478399
